ref,Val,Package,angle,r,x,y,rot,side,oldx,oldy
U1001,MountingHole,0.5 npth,1.5,4,121.53073372946,-86.3044818699549,0,top,122.509537,-84.676134
U1002,MountingHole,0.5 npth,3.5,4,116.304481869955,-88.4692662705396,0,top,121.89,-89.06
U1003,MountingHole,0.5 npth,6.5,4,121.53073372946,-93.6955181300451,0,top,116.055879,-89.195033
J1001,,,0,2.4,122.4,-90,0,top,,
J1002,,,2,2.4,120,-87.6,0,top,,
J1003,,,6,2.4,120,-92.4,0,top,,
J1004,,,4,2.4,117.6,-90,0,top,,
